z_m,beam_size
0.0,214.01998575711224
0.5263157894736842,454.9114079358531
1.0526315789473684,462.9529346769058
1.5789473684210527,464.2813532029145
2.1052631578947367,461.28999278864217
2.631578947368421,460.1963396114876
3.1578947368421053,462.7535102385106
3.6842105263157894,461.81302262872475
4.2105263157894735,461.8359676667896
4.7368421052631575,460.59055223697
5.263157894736842,462.32175138086404
5.789473684210526,461.4814951775652
6.315789473684211,461.81297205753975
6.842105263157895,460.64554110267966
7.368421052631579,462.4650808230541
7.894736842105263,461.86168381940416
8.421052631578947,461.65858074914956
8.947368421052632,462.1944850099535
9.473684210526315,462.8560861573957
10.0,470.8114119346096
