filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley
GRA SID4 22h15m16s124ms_GradX.csv,2.1533125000019025e-05,0.6015383487157474,0.0,-12.2319,4.578,-0.22922499999999998,0.1633,0.392525,0.0015038458717893685,0.6015364692908797,3.4453000000030443,0.37742846312499995,27935.486408950375,16.8099
GRA SID4 22h15m16s327ms_GradX.csv,-4.692500000010114e-06,0.598972490505831,0.0,-16.9227,5.5292,-0.2284,0.162325,0.390725,0.0014974312262645776,0.5989706187322548,-0.7508000000016182,0.3754078,127644.61648586542,22.4519
GRA SID4 22h15m16s531ms_GradX.csv,-3.287750000004053e-05,0.5935756273105419,0.0,-5.7973,7.1426,-0.2255,0.1629,0.38839999999999997,0.0014839390682763547,0.5935737732943354,-5.260400000006484,0.3734991325,18054.15890063573,12.9399
GRA SID4 22h15m16s736ms_GradX.csv,-4.381437500003358e-05,0.6028931666722166,0.0,-9.3094,5.753,-0.230125,0.1686,0.398725,0.0015072329166805414,0.6028912842202045,-7.010300000005373,0.380675399375,13760.167819615976,15.0624
GRA SID4 22h15m16s932ms_GradX.csv,-1.5408125000021756e-05,0.5959187932372397,0.0,-6.7666,8.2775,-0.2252,0.1632,0.3884,0.0014897969830930994,0.5959169311872986,-2.465300000003481,0.375512229375,38675.61786789635,15.0441
GRA SID4 22h15m17s128ms_GradX.csv,5.916875000025357e-06,0.593899620001705,0.0,-10.0918,3.6186,-0.2268,0.16572499999999998,0.392525,0.0014847490500042625,0.5938977640919668,0.9467000000040571,0.374914033125,100373.84930817544,13.7104
GRA SID4 22h15m17s327ms_GradX.csv,-8.255812500001411e-05,0.5973423560648936,0.0,-10.9201,5.6761,-0.2275,0.1684,0.39590000000000003,0.001493355890162234,0.5973404950722724,-13.209300000002258,0.376041719375,7235.415639943081,16.5962
GRA SID4 22h15m17s526ms_GradX.csv,-2.327687499998774e-05,0.5997474272285188,0.0,-10.1968,3.6016,-0.2262,0.1703,0.3965,0.001499368568071297,0.5997455534665826,-3.7242999999980384,0.377696428125,25765.804106566306,13.798399999999999
GRA SID4 22h15m17s733ms_GradX.csv,-4.978687500001797e-05,0.5993966428062689,0.0,-10.4491,4.0273,-0.2255,0.165325,0.390825,0.0014984916070156723,0.5993947717565298,-7.9659000000028755,0.376589300625,12039.249918112004,14.4764
GRA SID4 22h15m17s933ms_GradX.csv,-2.351937500004624e-05,0.596979601262098,0.0,-6.3709,5.383,-0.2248,0.165425,0.390225,0.001492449003155245,0.5969777361612303,-3.763100000007398,0.375534554375,25382.45918007877,11.7539
GRA SID4 22h15m18s132ms_GradX.csv,9.236875000010513e-06,0.5989969224817226,0.0,-9.2396,5.7976,-0.2248,0.16722499999999998,0.39202499999999996,0.0014974923062043067,0.5989950506846342,1.4779000000016822,0.376415754375,64848.431707975826,15.037199999999999
GRA SID4 22h15m18s327ms_GradX.csv,-1.3491874999999709e-05,0.598021421155867,0.0,-11.1876,4.9472,-0.23,0.1642,0.3942,0.0014950535528896675,0.5980195524882004,-2.1586999999999534,0.377142848125,44324.556581744444,16.1348
