kind,all_n,all_mean,all_std,all_median,all_min,all_max,all_q25,all_q75,all_iqr,all_sem,all_rms,all_cv,all_peak_to_valley,beam_n,beam_mean,beam_std,beam_median,beam_min,beam_max,beam_q25,beam_q75,beam_iqr,beam_sem,beam_rms,beam_cv,beam_peak_to_valley
INT,32000000,1056.4979740448969,1063.333138701867,750.47785,0.0,3726.6375,0.0,2097.47665,2097.47665,0.1879725182591164,1498.9547350366747,1.0064696429381688,3726.6375,19257800,1741.4903780958364,834.64433501953,1823.15915,238.197,3726.6375,960.93065,2440.4734,1479.5427499999998,0.1901945700918496,1931.170594951828,0.4792701386798004,3488.4405
GradX,32000000,-2.4493256249999773e-05,0.6000894320658792,0.0,-22.1176,12.7036,-0.2276,0.1687,0.3963,0.000106081826683,0.6000894231893401,24500.18900878873,34.8212,19257800,0.0102998167184205,0.7172211755849098,-0.0277,-3.5342,3.8521,-0.4972,0.4874,0.9846,0.0001634367687261,0.717295109575031,69.63436293313545,7.3863
GradY,32000000,3.5907421874999616e-05,0.5208626312953114,0.0,-13.0233,24.2113,-0.1876,0.1467,0.3343,9.207637466389578e-05,0.5208626243945323,14505.709115035366,37.2346,19257800,-0.0237464100520308,0.6134391387608146,-0.0353,-6.0427,3.2566,-0.4473,0.3828,0.8301,0.0001397874380485,0.6138985660623759,25.83292116117225,9.2993
GMod,32000000,0.552699469146875,0.5709014675060093,0.4759,0.0,26.3027,0.0,0.9378,0.9378,0.0001009220747657,0.7946100796053919,1.0329329036378438,26.3027,19257800,0.8390648407762049,0.4328439953571988,0.793,0.0,6.5944,0.5156,1.1079,0.5923000000000002,9.863432142251908e-05,0.9441311993652428,0.5158647750706206,6.5944
